timestamp,equity,gross_equity
2018-08-16T00:00:00+00:00,254598.1561078149748000000000,261843.3702893940000000000000
2018-08-17T00:00:00+00:00,249976.9909383730748000000000,257222.2051199521000000000000
2018-08-18T00:00:00+00:00,252225.2864503464908000000000,259537.0253580265000000000000
2018-08-19T00:00:00+00:00,251501.0861664019740000000000,258851.1976418699000000000000
2018-08-20T00:00:00+00:00,254994.0511534465740000000000,262344.1626289145000000000000
2018-08-21T00:00:00+00:00,252866.4789433001572000000000,260243.0644328290000000000000
2018-08-22T00:00:00+00:00,254573.1337113971572000000000,261949.7192009260000000000000
2018-08-23T00:00:00+00:00,253275.2580016441572000000000,260651.8434911730000000000000
2018-08-24T00:00:00+00:00,251976.3300033581572000000000,259352.9154928870000000000000
2018-08-25T00:00:00+00:00,252181.6680360176468000000000,259596.0803024168000000000000
2018-08-26T00:00:00+00:00,252670.8813439752116000000000,260122.8760814816000000000000
2018-08-27T00:00:00+00:00,250304.9412004818116000000000,257756.9359379882000000000000
2018-08-28T00:00:00+00:00,248819.5151026216116000000000,256271.5098401280000000000000
2018-08-29T00:00:00+00:00,249507.4722577505144000000000,257036.7017829024000000000000
2018-08-30T00:00:00+00:00,250072.8793753195144000000000,257602.1089004714000000000000
2018-08-31T00:00:00+00:00,250311.3121894486144000000000,257840.5417146005000000000000
2018-09-01T00:00:00+00:00,248649.5559087663144000000000,256178.7854339182000000000000
2018-09-02T00:00:00+00:00,248451.0951120405144000000000,255980.3246371924000000000000
2018-09-03T00:00:00+00:00,249220.9692294393144000000000,256750.1987545912000000000000
2018-09-04T00:00:00+00:00,249420.7563129560144000000000,256949.9858381079000000000000
2018-09-05T00:00:00+00:00,254927.4947901915144000000000,262535.4076765722000000000000
2018-09-06T00:00:00+00:00,254954.2836693891456000000000,262630.2414276651000000000000
2018-09-07T00:00:00+00:00,256615.6675644917456000000000,264291.6253227677000000000000
2018-09-08T00:00:00+00:00,259391.5702240699776000000000,267136.1052992676000000000000
2018-09-09T00:00:00+00:00,259323.3574151750776000000000,267067.8924903727000000000000
2018-09-10T00:00:00+00:00,258895.2532922377944000000000,266662.8217807072000000000000
2018-09-11T00:00:00+00:00,260615.5022312852944000000000,268383.0707197547000000000000
2018-09-12T00:00:00+00:00,260701.9806762268464000000000,268494.9380093337000000000000
2018-09-13T00:00:00+00:00,255895.2188766842464000000000,263688.1762097911000000000000
2018-09-14T00:00:00+00:00,256028.2739427053912000000000,263859.5975798950000000000000
2018-09-15T00:00:00+00:00,254718.3627931858912000000000,262549.6864303755000000000000
2018-09-16T00:00:00+00:00,254964.1562801580912000000000,262795.4799173477000000000000
2018-09-17T00:00:00+00:00,258497.6742810482912000000000,266328.9979182379000000000000
2018-09-18T00:00:00+00:00,256885.4044939539912000000000,264716.7281311436000000000000
2018-09-19T00:00:00+00:00,256504.0192383882912000000000,264335.3428755779000000000000
2018-09-20T00:00:00+00:00,254589.5803806204912000000000,262420.9040178101000000000000
2018-09-21T00:00:00+00:00,251090.1617791413912000000000,258921.4854163310000000000000
2018-09-22T00:00:00+00:00,251746.4802939855272000000000,259605.5247771508000000000000
2018-09-23T00:00:00+00:00,251555.9657976547272000000000,259415.0102808200000000000000
2018-09-24T00:00:00+00:00,253221.7963611271272000000000,261080.8408442924000000000000
2018-09-25T00:00:00+00:00,254538.9508755223272000000000,262397.9953586876000000000000
2018-09-26T00:00:00+00:00,254780.3636289549272000000000,262639.4081121202000000000000
2018-09-27T00:00:00+00:00,252663.8047078999272000000000,260522.8491910652000000000000
2018-09-28T00:00:00+00:00,253520.1917837767272000000000,261379.2362669420000000000000
2018-09-29T00:00:00+00:00,253027.4335005057272000000000,260886.4779836710000000000000
2018-09-30T00:00:00+00:00,252822.9015457761272000000000,260681.9460289414000000000000
2018-10-01T00:00:00+00:00,253109.1216003731272000000000,260968.1660835384000000000000
2018-10-02T00:00:00+00:00,253918.0711033960728000000000,261812.9548076466000000000000
2018-10-03T00:00:00+00:00,254514.2598869902728000000000,262409.1435912408000000000000
2018-10-04T00:00:00+00:00,253861.5784573666728000000000,261756.4621616172000000000000
